PR-REQ,2018-08-10 13:35:20,52.479,-1.8917,Client,5c:f8:a1:7f:83:b7,Murata Manufacturing Co. Ltd.,Broadcast
AP-RES,2018-08-10 13:35:20,52.479,-1.8917,Client,5c:f8:a1:7f:83:b7,Murata Manufacturing Co. Ltd.,Hidden SSID
PR-REQ,2018-08-10 13:35:25,52.479,-1.8917,Client,04:d6:aa:6c:af:39,Samsung Electro-Mechanics(Thailand),VodafoneWiFi
AP-RES,2018-08-10 13:35:25,52.479,-1.8917,Client,04:d6:aa:6c:af:39,Samsung Electro-Mechanics(Thailand),VodafoneWiFi
AP-BEC,2018-08-10 13:35:26,52.479,-1.8917,BSSID,38:90:a5:c3:17:c2,Cisco Systems Inc,WBullring
PR-REQ,2018-08-10 13:35:26,52.479,-1.8917,Client,fc:2d:5e:c5:44:6b,Zte Corporation,Broadcast
AP-RES,2018-08-10 13:35:26,52.479,-1.8917,Client,fc:2d:5e:c5:44:6b,Zte Corporation,Hidden SSID
PR-REQ,2018-08-10 13:35:26,52.479,-1.8917,Client,ca:a3:c0:1b:f4:4a,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:26,52.479,-1.8917,Client,ca:a3:c0:1b:f4:4a,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-10 13:35:26,52.479,-1.8917,Client,36:cf:f9:05:cf:b4,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:26,52.479,-1.8917,Client,36:cf:f9:05:cf:b4,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-10 13:35:27,52.479,-1.8917,Client,06:72:25:0b:c2:f7,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:27,52.479,-1.8917,Client,06:72:25:0b:c2:f7,Unknown Vendor,Hidden SSID
AP-BEC,2018-08-10 13:35:28,52.479,-1.8917,BSSID,fc:0a:81:96:12:a7,Extreme Networks,ZSelfridgesClickDespatch
AP-BEC,2018-08-10 13:35:28,52.479,-1.8917,BSSID,fc:0a:81:96:12:a1,Extreme Networks,xrayBr
AP-BEC,2018-08-10 13:35:28,52.479,-1.8917,BSSID,fc:0a:81:96:12:a4,Extreme Networks,ZSelfridgesConcession
AP-BEC,2018-08-10 13:35:28,52.479,-1.8917,BSSID,fc:0a:81:96:12:a0,Extreme Networks,Selfridges
AP-BEC,2018-08-10 13:35:28,52.479,-1.8917,BSSID,84:24:8d:3b:29:74,Zebra Technologies Inc,ZSelfridgesConcession
AP-BEC,2018-08-10 13:35:29,52.479,-1.8917,BSSID,84:24:8d:3b:29:70,Zebra Technologies Inc,Selfridges
AP-BEC,2018-08-10 13:35:29,52.479,-1.8917,BSSID,84:24:8d:3a:a7:e7,Zebra Technologies Inc,ZSelfridgesClickDespatch
AP-BEC,2018-08-10 13:35:29,52.479,-1.8917,BSSID,84:24:8d:3a:a7:e4,Zebra Technologies Inc,ZSelfridgesConcession
PR-REQ,2018-08-10 13:35:29,52.479,-1.8917,Client,b6:48:2d:62:75:19,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:29,52.479,-1.8917,Client,b6:48:2d:62:75:19,Unknown Vendor,Hidden SSID
AP-BEC,2018-08-10 13:35:29,52.479,-1.8917,BSSID,60:03:47:2c:6e:a9,Billion Electric Co. Ltd.,Boost
PR-REQ,2018-08-10 13:35:30,52.479,-1.8917,Client,b6:48:2d:62:75:19,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:30,52.479,-1.8917,Client,b6:48:2d:62:75:19,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-10 13:35:32,52.479,-1.8917,Client,10:07:b6:9e:a7:e4,Samsung Electronics Co.Ltd,Agarwal-5G-bJtH
AP-RES,2018-08-10 13:35:32,52.479,-1.8917,Client,10:07:b6:9e:a7:e4,Samsung Electronics Co.Ltd,Agarwal-5G-bJtH
AP-BEC,2018-08-10 13:35:33,52.479,-1.8917,BSSID,84:24:8d:21:40:11,Zebra Technologies Inc,xrayBr
AP-BEC,2018-08-10 13:35:35,52.479,-1.8917,BSSID,84:24:8d:21:40:10,Zebra Technologies Inc,Selfridges
AP-BEC,2018-08-10 13:35:35,52.479,-1.8917,BSSID,84:24:8d:3a:f2:e7,Zebra Technologies Inc,ZSelfridgesClickDespatch
AP-BEC,2018-08-10 13:35:35,52.479,-1.8917,BSSID,84:24:8d:21:40:14,Zebra Technologies Inc,ZSelfridgesConcession
PR-REQ,2018-08-10 13:35:35,52.479,-1.8917,Client,ee:94:eb:39:56:b8,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:35,52.479,-1.8917,Client,ee:94:eb:39:56:b8,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-10 13:35:36,52.479,-1.8917,Client,82:60:1c:f1:16:e2,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:36,52.479,-1.8917,Client,82:60:1c:f1:16:e2,Unknown Vendor,Hidden SSID
AP-BEC,2018-08-10 13:35:36,52.479,-1.8917,BSSID,38:90:a5:c3:1c:03,Cisco Systems Inc,WRetailer
AP-BEC,2018-08-10 13:35:36,52.479,-1.8917,BSSID,84:24:8d:3a:a5:24,Zebra Technologies Inc,ZSelfridgesConcession
AP-BEC,2018-08-10 13:35:36,52.479,-1.8917,BSSID,84:24:8d:3a:a5:27,Zebra Technologies Inc,ZSelfridgesClickDespatch
AP-BEC,2018-08-10 13:35:37,52.479,-1.8917,BSSID,84:24:8d:3b:29:71,Zebra Technologies Inc,xrayBr
AP-BEC,2018-08-10 13:35:37,52.479,-1.8917,BSSID,f4:6b:ef:15:8e:12,Sagemcom Broadband Sas,BTWi-fi
AP-BEC,2018-08-10 13:35:37,52.479,-1.8917,BSSID,84:24:8d:3a:a5:21,Zebra Technologies Inc,xrayBr
AP-BEC,2018-08-10 13:35:37,52.479,-1.8917,BSSID,84:24:8d:3a:a5:20,Zebra Technologies Inc,Selfridges
