PR-REQ,2018-08-14 13:27:47,52.4365,-1.9142,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Broadcast
AP-RES,2018-08-14 13:27:47,52.4365,-1.9142,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Hidden SSID
PR-REQ,2018-08-14 13:27:48,52.4365,-1.9142,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Broadcast
AP-RES,2018-08-14 13:27:48,52.4365,-1.9142,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Hidden SSID
PR-REQ,2018-08-14 13:27:48,52.4365,-1.9142,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-14 13:27:48,52.4365,-1.9142,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
PR-REQ,2018-08-14 13:27:57,52.4365,-1.9142,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-14 13:27:57,52.4365,-1.9142,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
PR-REQ,2018-08-14 13:27:58,52.4365,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
AP-RES,2018-08-14 13:27:58,52.4365,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-14 13:27:58,52.4365,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Broadcast
AP-RES,2018-08-14 13:27:58,52.4365,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Hidden SSID
PR-REQ,2018-08-14 13:28:05,52.4365,-1.9142,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-14 13:28:05,52.4365,-1.9142,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
PR-REQ,2018-08-14 13:28:06,52.4365,-1.9142,Client,ca:81:3f:98:9e:91,Unknown Vendor,Broadcast
