AP-RES,2018-08-08 12:43:28,52.4385,-1.914,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-08 12:43:28,52.4385,-1.914,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Broadcast
AP-RES,2018-08-08 12:43:28,52.4385,-1.914,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Hidden SSID
PR-REQ,2018-08-08 12:43:29,52.4385,-1.914,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-08 12:43:29,52.4385,-1.914,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
PR-REQ,2018-08-08 12:43:38,52.4385,-1.9142,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-08 12:43:38,52.4385,-1.9142,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
PR-REQ,2018-08-08 12:43:40,52.4382,-1.9141,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Broadcast
AP-RES,2018-08-08 12:43:40,52.4382,-1.9141,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Hidden SSID
PR-REQ,2018-08-08 12:43:50,52.4383,-1.9141,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
AP-RES,2018-08-08 12:43:50,52.4383,-1.9141,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-08 12:43:50,52.4383,-1.9141,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Broadcast
AP-RES,2018-08-08 12:43:50,52.4383,-1.9141,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Hidden SSID
PR-REQ,2018-08-08 12:43:58,52.4384,-1.9141,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Broadcast
AP-RES,2018-08-08 12:43:58,52.4384,-1.9141,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Hidden SSID
PR-REQ,2018-08-08 12:43:59,52.4384,-1.9141,Client,ec:10:7b:49:cf:0d,Samsung Electronics Co.Ltd,Broadcast
AP-RES,2018-08-08 12:43:59,52.4384,-1.9141,Client,ec:10:7b:49:cf:0d,Samsung Electronics Co.Ltd,Hidden SSID
