AP-RES,2018-08-06 12:55:16,52.4387,-1.9144,Client,1a:9f:6d:2a:1c:9f,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-06 12:55:19,52.4387,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-06 12:55:19,52.4387,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
PR-REQ,2018-08-06 12:55:26,52.4387,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-06 12:55:26,52.4387,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
PR-REQ,2018-08-06 12:55:28,52.4387,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-06 12:55:28,52.4387,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
PR-REQ,2018-08-06 12:56:37,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Broadcast
AP-RES,2018-08-06 12:56:37,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Hidden SSID
AP-BEC,2018-08-06 12:56:39,52.4387,-1.9144,BSSID,48:d3:43:c9:31:d9,Arris Group Inc.,VM9572040
PR-REQ,2018-08-06 12:56:48,52.4387,-1.9143,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
AP-RES,2018-08-06 12:56:48,52.4387,-1.9143,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-06 12:56:48,52.4387,-1.9143,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
AP-RES,2018-08-06 12:56:48,52.4387,-1.9143,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-06 12:56:48,52.4387,-1.9143,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Broadcast
AP-RES,2018-08-06 12:56:48,52.4387,-1.9143,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Hidden SSID
PR-REQ,2018-08-06 12:56:49,52.4387,-1.9143,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
AP-RES,2018-08-06 12:56:49,52.4387,-1.9143,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-06 12:56:49,52.4387,-1.9143,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Broadcast
